month_start_date,year,month,year_month
2018-10-01,2018,10,2018-10
2018-11-01,2018,11,2018-11
2018-12-01,2018,12,2018-12
2019-01-01,2019,1,2019-01
2019-02-01,2019,2,2019-02
2019-03-01,2019,3,2019-03
2019-04-01,2019,4,2019-04
2019-05-01,2019,5,2019-05
2019-06-01,2019,6,2019-06
2019-07-01,2019,7,2019-07
2019-08-01,2019,8,2019-08
2019-09-01,2019,9,2019-09
2019-10-01,2019,10,2019-10
2019-11-01,2019,11,2019-11
2019-12-01,2019,12,2019-12
2020-01-01,2020,1,2020-01
2020-02-01,2020,2,2020-02
2020-03-01,2020,3,2020-03
2020-04-01,2020,4,2020-04
2020-05-01,2020,5,2020-05
2020-06-01,2020,6,2020-06
2020-07-01,2020,7,2020-07
2020-08-01,2020,8,2020-08
2020-09-01,2020,9,2020-09
2020-10-01,2020,10,2020-10
2020-11-01,2020,11,2020-11
2020-12-01,2020,12,2020-12
2021-01-01,2021,1,2021-01
2021-02-01,2021,2,2021-02
2021-03-01,2021,3,2021-03
2021-04-01,2021,4,2021-04
2021-05-01,2021,5,2021-05
2021-06-01,2021,6,2021-06
2021-07-01,2021,7,2021-07
2021-08-01,2021,8,2021-08
2021-09-01,2021,9,2021-09
2021-10-01,2021,10,2021-10
2021-11-01,2021,11,2021-11
2021-12-01,2021,12,2021-12
2022-01-01,2022,1,2022-01
2022-02-01,2022,2,2022-02
2022-03-01,2022,3,2022-03
2022-04-01,2022,4,2022-04
2022-05-01,2022,5,2022-05
2022-06-01,2022,6,2022-06
2022-07-01,2022,7,2022-07
2022-08-01,2022,8,2022-08
2022-09-01,2022,9,2022-09
2022-10-01,2022,10,2022-10
2022-11-01,2022,11,2022-11
2022-12-01,2022,12,2022-12
